Gatineau,45.4839,-75.6456
Regina,50.4547,-104.6067
Greater Sudbury,46.49,-81.01
Kawartha Lakes,44.35,-78.75 
Timmins,48.4758,-81.3305 
Ottawa,45.4215,-75.6972 
Chatham-Kent,42.4048,-82.191 
Norfolk County,42.7967 ,-80.4136 
Haldimand County,42.9277 ,-79.8762 
Hamilton,43.2436,-79.8891 
Prince Edward County,44.0003,-77.2504 
Brant,43.1167 ,-80.3667 
Calgary,51.045 ,-114.0572 
Elliot Lake,46.3862 ,-82.6509 
Edmonton,53.5436 ,-113.4905 
Toronto,43.6532 ,-79.3832 
Quinte West,44.179 ,-77.5861 
Winnipeg,49.8998 ,-97.1375 
Kingston,41.9512 ,-74.0065 
St. Johns,37.0902 ,-95.7128 
London,51.5081 ,51.5081 
Whitehorse,60.7212 ,-135.0568 
Abbotsford,49.0568 ,-122.285 
Thunder Bay,48.4158 ,-89.2673 
North Bay,46.3091 ,-79.4608 
Prince George,38.7849 ,-76.8721   
Surrey,51.2623 ,-.4673 
Saint John,45.2733 ,-66.0633 
Kamloops,50.6745 ,-120.3273 
Clarence-Rockland,45.5509 ,-75.2804 
Mississauga,43.589 ,-79.6441 
Vaughan,43.8372 ,-79.5083 
Brampton,43.6853 ,-79.7599 
Gillam,56.348 ,-94.7091 
Leaf Rapids,56.4627 ,-100.0108 
Snow Lake,54.8786 ,-100.022 
Lynn Lake,56.8503 ,-101.0538 
Huntsville,34.7304 ,-86.5861 
Caledon,43.8667 ,-80 
Laurentian Hills,45.9858 ,-77.5076 
Bracebridge,45.039 ,45.039 
Iroquois Falls,48.768 ,-80.6732 
Moosonee,51.2794 ,-80.795 
Cochrane,37.2227584 ,-80.4221508 
South Bruce Peninsula,44.7316 ,-81.1918 
Kearney,40.6993 ,-99.0817 
Lakeshore,43.5697668 ,-79.5663379 
Blind River,46.1847 ,-82.954 
Mississippi Mills,45.2314 ,-76.1938 
Gravenhurst,44.9196 ,-79.3742 
Northeastern Manitoulin and the Islands,45.9667 ,-81.9333 
Greater Napanee,44.25 ,-76.95 
Baie Verte,49.9393 ,-56.1907 
Milton,43.5183 ,-79.8774 
Plympton-Wyoming,43.0167 ,-82.0833 
Happy Valley-Goose Bay,53.3017 ,-60.3261 
Minto,43.9167 ,-80.8667 
Erin,43.5546 ,-79.6976 
Georgina,44.3055 ,-79.2451 
The Blue Mountains,44.4892 ,-80.3886 
Innisfil,44.3009 ,-79.6115 
Essex,42.1727,-82.8189 
Mono,44.0167 ,-80.0667 
Halton Hills,43.6269 ,-79.9514 
New Tecumseth,44.1529 ,-79.8686
Charlottetown,46.2478 ,-63.1202
Toronto,43.6532,-79.3832
Scarborough,43.773 ,-79.2576 
Greenway,36.3351925 ,-94.1900993
Calgary,51.045 ,-114.0572
